sample,time_s,vout_v,burden_current_a,estimated_primary_current_a,estimated_flux_wb,estimated_ct_secondary_voltage_v,estimated_magnetizing_current_a,chi_square,degrees_of_freedom,confidence,max_abs_normalized_residual,iterations,converged
88,0.018125,-0.16162443999999998,1.6162443999999998,-647.5442653862129,-0.0022594065484482805,-1.65888780941028,-0.0009573756561221529,5.443819797598243e-14,6,1.0,2.3331994765898432e-07,3,1
89,0.018333,-0.16681997800000004,1.6681997800000004,-668.404472338625,-0.002613808373013398,-1.7038549257938354,-0.0011075459207683892,6.488807868722292e-14,6,1.0,2.547313853578262e-07,3,1
90,0.018541,-0.17100992800000003,1.7100992800000003,-685.239438627704,-0.002975425341834034,-1.7385431193299816,-0.0012607734499296755,7.624085239253692e-14,6,1.0,2.7611746121991804e-07,3,1
91,0.01875,-0.17419428999999997,1.7419428999999997,-698.0491505654019,-0.0033439063343423487,-1.7630669498005422,-0.0014169094637043857,8.861720486971129e-14,6,1.0,2.9768642036084535e-07,3,1
92,0.018958,-0.17620546599999998,1.7620546599999998,-706.1611859623933,-0.00371309768742105,-1.7749584282629887,-0.0015733464777207852,8.999315710988724e-14,6,1.0,2.9998859496216803e-07,3,1
93,0.019166,-0.17704345600000004,1.7704345600000004,-709.5757247254337,-0.004082290931684427,-1.7749675204970055,-0.001729784293086625,8.999684997893377e-14,6,1.0,2.999947498958449e-07,3,1
94,0.019375,-0.17704345600000004,1.7704345600000004,-709.6359220889689,-0.004451973434130967,-1.7688158011796102,-0.0018864294212419435,9.09554012204765e-14,6,1.0,3.0158813173888805e-07,3,1
95,0.019583,-0.175702672,1.75702672,-704.3252502607975,-0.004815158921728875,-1.7460840749899431,-0.00204032157700378,7.892692971028382e-14,6,1.0,2.8093937012779315e-07,3,1
96,0.019791,-0.173523898,1.73523898,-695.6595369835337,-0.005172526611788414,-1.7181138945170191,-0.0021917485643171675,6.93616839026307e-14,6,1.0,2.6336606440680835e-07,3,1
97,0.02,-0.17000433999999998,1.7000433999999998,-681.6228374457905,-0.005522334387787115,-1.6737214162617187,-0.0023399721982149666,5.845652243323618e-14,6,1.0,2.4177783686881146e-07,3,1
98,0.020208,-0.165646792,1.6564679199999999,-664.2299604774765,-0.005860102836268232,-1.6238867715438314,-0.0024830944221477243,4.417229492184236e-14,6,1.0,2.1017206017159447e-07,3,1
99,0.020416,-0.16011605800000006,1.6011605800000006,-642.1366422539195,-0.0061846668836458745,-1.5604040739309768,-0.002620621560867201,3.2107068726590206e-14,6,1.0,1.7918445435556374e-07,3,1
100,0.020625,-0.15374733400000007,1.5374733400000007,-616.6867390846638,-0.00649625597084569,-1.4908568765541341,-0.002752650835104629,2.316622648170151e-14,6,1.0,1.5220455457392348e-07,3,1
101,0.020833,-0.14637302200000002,1.4637302200000002,-587.2068135939338,-0.006789515319342218,-1.4099007139256172,-0.002876913270908569,1.4263044917964302e-14,6,1.0,1.194279903319329e-07,3,1
102,0.021041,-0.13799312200000002,1.3799312200000002,-553.6973611615175,-0.007063870910226311,-1.3190172638658315,-0.002993165639927717,8.36966069152268e-15,6,1.0,9.148584946280325e-08,3,1
103,0.02125,-0.12894283000000006,1.2894283000000006,-517.5015246113553,-0.007319677171815866,-1.2239534047347096,-0.003101558123652734,4.780648021717014e-15,6,1.0,6.914223016456493e-08,3,1
104,0.021458,-0.11905454800000004,1.1905454800000004,-477.9458656115774,-0.007552429587855047,-1.1190020001883703,-0.0032001820287548806,2.2456962810462004e-15,6,1.0,4.738877779430855e-08,3,1
105,0.021666,-0.10832827600000006,1.0832827600000006,-435.03098782485006,-0.007761651424140164,-1.0058742129092137,-0.0032888353492156372,9.573119886699225e-16,6,1.0,3.094045853705362e-08,3,1
106,0.021875,-0.096931612,0.96931612,-389.42843501998817,-0.007947145798098791,-0.8875328897542077,-0.0033674346602161546,3.654629030133866e-16,6,1.0,1.91170834808104e-08,3,1
107,0.022083,-0.08503215399999997,0.8503215399999997,-341.8084112170765,-0.00810619500541535,-0.7646596505603834,-0.003434828392131121,1.0677004674695523e-16,6,1.0,1.033295893002105e-08,3,1
108,0.022291,-0.07262990199999997,0.7262990199999997,-292.17086701913047,-0.008238724797918123,-0.6371624639556369,-0.00349098508387075,2.4814524071316798e-17,6,1.0,4.981416568437336e-09,3,1
109,0.0225,-0.05972485599999999,0.5972485599999999,-240.5157422823389,-0.008344286725198468,-0.5050809917719862,-0.0035357147140753593,4.020299168834366e-18,6,1.0,2.0050634262180726e-09,3,1
110,0.022708,-0.046484614000000035,0.46484614000000035,-187.51377604419312,-0.008421241989757617,-0.3699772334574438,-0.0035683228770250234,3.207513456379951e-19,6,1.0,5.663072888775246e-10,3,1
111,0.022916,-0.032909175999999984,0.32909175999999984,-133.16499377342504,-0.00846948921564272,-0.23195781675529575,-0.0035887666168074356,7.665940779738515e-21,6,1.0,8.749609787779902e-11,3,1
112,0.023125,-0.019166140000000054,0.19166140000000054,-78.1409282329895,-0.008489102458937723,-0.09384326935408092,-0.0035970773131191267,7.416599818937825e-23,6,1.0,8.271161533457416e-12,3,1
113,0.023333,-0.005255506000000021,0.05255506000000021,-22.440523642363132,-0.008479386512537443,0.04671128077057731,-0.003592960386678206,1.0128372079021002e-23,6,1.0,3.1780134079895106e-12,2,1
114,0.023541,0.008655128000000012,-0.08655128000000012,33.264181703682084,-0.008440747939729444,0.1857623692692297,-0.0035765881100641673,1.3007280368056672e-21,6,1.0,3.5990141937633155e-11,2,1
115,0.02375,0.022565761999999934,-0.22565761999999934,88.97360902677451,-0.00837297482897677,0.3242732571898258,-0.0035478706902529215,1.1609326995555427e-19,6,1.0,3.4066584324527263e-10,3,1
116,0.023958,0.036308797999999975,-0.36308797999999975,144.01662674351863,-0.008277119890629014,0.46084104974882023,-0.0035072541909520107,1.8582954770665434e-18,6,1.0,1.3631911083885478e-09,3,1
117,0.024166,0.049716638000000035,-0.49716638000000035,197.72153231513508,-0.00815388282677093,0.592485883933099,-0.0034550350960957476,1.3871705176401623e-17,6,1.0,3.7244669984427175e-09,3,1
118,0.024375,0.06295687999999999,-0.6295687999999999,250.76033577225968,-0.008002766968627239,0.7230423834626344,-0.003391002952813338,7.090518849236305e-17,6,1.0,8.420519818664327e-09,3,1
119,0.024583,0.07569432799999998,-0.7569432799999998,301.7896701674157,-0.00782654365377947,0.847227475229657,-0.0033163320566902753,2.424958757835956e-16,6,1.0,1.5572278209825233e-08,3,1
120,0.024791,0.08809657999999998,-0.8809657999999998,351.4814038477007,-0.007625060796347244,0.9686675838087786,-0.003230957964556964,7.081122884616453e-16,6,1.0,2.661037900718744e-08,3,1
121,0.025,0.09982844000000002,-0.9982844000000002,398.4920037099264,-0.007399163550279586,1.0808480673093632,-0.0031352387924935385,1.7680104276737524e-15,6,1.0,4.2047715856084506e-08,3,1
122,0.025208,0.11105750599999997,-1.1105750599999997,443.4937499363975,-0.007151706195292862,1.1896988220515625,-0.0030303839810578025,3.666065905492364e-15,6,1.0,6.054804594205247e-08,3,1
123,0.025416,0.12161617999999996,-1.2161617999999996,485.8142494323947,-0.00688328820150142,1.2904711239973152,-0.0029166475430100645,7.025713659144952e-15,6,1.0,8.381953007159827e-08,3,1
124,0.025625,0.131336864,-1.31336864,524.78227495612,-0.006594583456890419,1.3813624144067196,-0.0027943150241067265,1.2584289042537367e-14,6,1.0,1.1217971732216853e-07,3,1
125,0.025833,0.14021955799999997,-1.4021955799999997,560.3978928660688,-0.00628998798419837,1.4644013110194678,-0.0026652491458471336,1.9319009416089063e-14,6,1.0,1.3899283925569874e-07,3,1
126,0.026041,0.14826426199999998,-1.4826426199999998,592.6607125574188,-0.0059699199757957625,1.5387885019355874,-0.0025296271083882415,2.87167620672938e-14,6,1.0,1.6946020776297508e-07,3,1
127,0.02625,0.15547097600000004,-1.5547097600000004,621.5707152497796,-0.005634567610266586,1.6045567728668964,-0.0023875286484181537,4.1706942199104385e-14,6,1.0,2.0422277577956065e-07,3,1
128,0.026458,0.16167210200000004,-1.6167210200000004,646.4557501980721,-0.005289368074281639,1.6596131537737835,-0.0022412576585939693,5.257254120260957e-14,6,1.0,2.2928702789539273e-07,3,1
129,0.026666,0.16686763999999998,-1.6686763999999998,667.3158823438433,-0.0049348633469392935,1.7043496506843532,-0.0020910437910759976,6.503896136020045e-14,6,1.0,2.5502737367773327e-07,3,1
130,0.026875,0.17105758999999998,-1.7105758999999998,684.1510947308756,-0.004571436162761327,1.738886048698398,-0.0019370492215090478,7.934811327342714e-14,6,1.0,2.8168797143983104e-07,3,1
131,0.027083,0.17407435400000004,-1.7407435400000004,696.2890143023477,-0.004205179091696165,1.7608513031978956,-0.0017818555473288877,8.442780011284032e-14,6,1.0,2.905646229083395e-07,3,1
132,0.027291,0.17608553000000005,-1.7608553000000005,704.4013850432918,-0.0038362510106212545,1.7736926974755332,-0.001625530089246296,8.948103595875549e-14,6,1.0,2.9913380943945547e-07,3,1
133,0.0275,0.177091118,-1.77091118,708.4877962936055,-0.0034649595946364886,1.7765139520802118,-0.0014682032180663093,9.417086561916209e-14,6,1.0,3.0687271891684785e-07,3,1
134,0.027708,0.17692352,-1.7692352,707.8757090358446,-0.0030975114838604667,1.7665774556539529,-0.0013125048660425707,8.664938579472702e-14,6,1.0,2.9436267730941406e-07,3,1
135,0.027916,0.17575033399999995,-1.7575033399999995,703.2369874653068,-0.0027340091992546322,1.7476071375280522,-0.0011584784742604377,7.947938329112101e-14,6,1.0,2.819208812590371e-07,3,1
136,0.028125,0.17340396199999997,-1.7340396199999997,693.8996184010729,-0.002375377356433539,1.715941831679865,-0.0010065158289972625,7.134903486775403e-14,6,1.0,2.671124011856884e-07,3,1
137,0.028333,0.17005200200000004,-1.7005200200000004,680.5345132203134,-0.0020269483468904723,1.6751394689570531,-0.0008588764181739289,5.663850336943589e-14,6,1.0,2.3798845217648987e-07,3,1
138,0.028541,0.16569445399999994,-1.6569445399999994,663.1413023458372,-0.0016890684014991336,1.6244228143814372,-0.0007157069497877685,4.428907777654921e-14,6,1.0,2.1044970367404443e-07,3,1
139,0.02875,0.16016372,-1.6016372,641.0483196494888,-0.001362806927113,1.5610596860580497,-0.000577460562336017,3.3475238662669274e-14,6,1.0,1.8296239685352106e-07,3,1
140,0.028958,0.15379499600000002,-1.5379499600000002,615.5980269933323,-0.0010526487486640914,1.4911450886966768,-0.00044603760536614045,2.2328688676877427e-14,6,1.0,1.494278711487568e-07,3,1
